epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6821,1.96757,2.35838,1.62894,0.72454,0.80392,0.8247,0.47475,1.55833,1.92546,1.51775,0.000407197,0.000407197,0.000407197
2,39.9823,1.669,1.37851,1.38236,0.7601,0.95462,0.95712,0.54499,1.62357,1.25329,1.55363,0.000803473,0.000803473,0.000803473
3,59.2915,1.69932,1.39745,1.3841,0.86061,0.78473,0.88149,0.4224,1.5908,1.46239,1.57567,0.00117912,0.00117912,0.00117912
4,78.9286,1.67224,1.32245,1.34537,0.79905,0.96412,0.95563,0.50079,1.61131,1.28686,1.52806,0.00115719,0.00115719,0.00115719
5,98.2245,1.63295,1.16299,1.34364,0.92253,0.82321,0.95939,0.51805,1.58297,1.08267,1.6219,0.00112625,0.00112625,0.00112625
6,118.182,1.58671,1.03669,1.32839,0.87668,1,0.995,0.57516,1.44576,0.94004,1.45852,0.00109531,0.00109531,0.00109531
7,137.793,1.58693,1.00729,1.34516,0.89584,1,0.995,0.59275,1.47539,0.87634,1.46623,0.00106437,0.00106437,0.00106437
8,157.531,1.60187,0.96143,1.31596,0.95133,1,0.995,0.61517,1.42453,0.77409,1.42547,0.00103344,0.00103344,0.00103344
9,177.696,1.53724,0.99193,1.29936,0.95931,0.99834,0.995,0.58946,1.47572,0.87248,1.5415,0.0010025,0.0010025,0.0010025
10,197.453,1.50902,0.9423,1.29627,0.93317,0.99451,0.995,0.59745,1.49938,0.78218,1.50709,0.000971562,0.000971562,0.000971562
11,216.951,1.4812,0.90019,1.28505,0.9421,0.975,0.94998,0.56078,1.60963,0.72247,1.55123,0.000940625,0.000940625,0.000940625
12,237.962,1.47757,0.85991,1.2702,0.92681,0.98391,0.995,0.58279,1.61073,0.73602,1.51271,0.000909688,0.000909688,0.000909688
13,258.743,1.45088,0.85406,1.26849,0.96746,1,0.995,0.60431,1.5143,0.65656,1.48418,0.00087875,0.00087875,0.00087875
14,279.331,1.4607,0.86272,1.29325,0.9637,1,0.995,0.60616,1.48541,0.71734,1.44568,0.000847813,0.000847813,0.000847813
15,300.062,1.48347,0.82005,1.26999,0.98459,1,0.995,0.59491,1.47729,0.69571,1.47208,0.000816875,0.000816875,0.000816875
16,320.732,1.46542,0.78395,1.24929,0.97596,1,0.995,0.61438,1.51448,0.68386,1.47259,0.000785938,0.000785938,0.000785938
17,341.466,1.39747,0.78193,1.26365,0.95902,1,0.995,0.59143,1.4506,0.67811,1.48905,0.000755,0.000755,0.000755
18,362.417,1.41335,0.77638,1.25597,0.94722,1,0.995,0.59857,1.46887,0.64463,1.47383,0.000724062,0.000724062,0.000724062
19,383.16,1.41672,0.75109,1.24368,0.9754,1,0.995,0.58974,1.47435,0.64092,1.42101,0.000693125,0.000693125,0.000693125
20,404.11,1.3965,0.72073,1.24427,0.96247,1,0.995,0.6103,1.5076,0.64764,1.43225,0.000662188,0.000662188,0.000662188
21,424.708,1.40279,0.73564,1.22629,0.96011,1,0.995,0.63543,1.41555,0.62494,1.44133,0.00063125,0.00063125,0.00063125
22,445.339,1.42669,0.74056,1.24823,0.97014,1,0.995,0.58868,1.48674,0.63761,1.48838,0.000600313,0.000600313,0.000600313
23,465.845,1.35167,0.75325,1.23337,0.9668,1,0.995,0.57439,1.57699,0.63379,1.50777,0.000569375,0.000569375,0.000569375
24,486.572,1.37495,0.73794,1.23788,0.94505,0.975,0.95203,0.6119,1.45265,0.58683,1.50777,0.000538438,0.000538438,0.000538438
25,507.545,1.36958,0.70822,1.23437,0.9459,0.975,0.9645,0.59222,1.48144,0.61286,1.49359,0.0005075,0.0005075,0.0005075
26,528.28,1.33823,0.72107,1.20153,0.96037,1,0.995,0.63657,1.41518,0.5818,1.44457,0.000476562,0.000476562,0.000476562
27,548.908,1.33209,0.69904,1.2076,0.96135,0.99731,0.995,0.6315,1.44259,0.5796,1.48705,0.000445625,0.000445625,0.000445625
28,569.623,1.3083,0.67913,1.19092,0.98207,1,0.995,0.61443,1.56177,0.58256,1.54867,0.000414688,0.000414688,0.000414688
29,590.454,1.31409,0.66392,1.20047,0.93626,0.975,0.95875,0.60922,1.51217,0.5766,1.50986,0.00038375,0.00038375,0.00038375
30,611.325,1.34047,0.68376,1.19517,0.94606,0.975,0.95726,0.62083,1.49515,0.59049,1.48809,0.000352812,0.000352812,0.000352812
31,638.528,1.35252,0.71566,1.27548,0.96757,1,0.995,0.63386,1.45446,0.55793,1.5076,0.000321875,0.000321875,0.000321875
32,658.911,1.30616,0.63379,1.19549,0.96401,1,0.995,0.61121,1.44488,0.54237,1.48625,0.000290937,0.000290937,0.000290937
33,679.736,1.29127,0.63412,1.21238,0.95779,1,0.995,0.60042,1.48333,0.55018,1.48208,0.00026,0.00026,0.00026
34,700.353,1.27476,0.61731,1.1947,0.96262,1,0.995,0.62382,1.48284,0.53662,1.46905,0.000229063,0.000229063,0.000229063
35,720.945,1.23242,0.60015,1.18131,0.96809,1,0.995,0.63104,1.4595,0.5376,1.47253,0.000198125,0.000198125,0.000198125
36,741.811,1.26467,0.60611,1.18561,0.9689,1,0.995,0.62626,1.43836,0.5458,1.46152,0.000167188,0.000167188,0.000167188
37,762.453,1.25081,0.58974,1.16264,0.96384,1,0.995,0.62577,1.40849,0.53337,1.45241,0.00013625,0.00013625,0.00013625
38,783.313,1.23625,0.58622,1.17851,0.96456,1,0.995,0.64105,1.43708,0.54155,1.47459,0.000105312,0.000105312,0.000105312
39,804.071,1.23117,0.5737,1.1648,0.96725,1,0.995,0.64404,1.46252,0.53941,1.48876,7.4375e-05,7.4375e-05,7.4375e-05
40,824.988,1.21469,0.56492,1.16758,0.96844,1,0.995,0.62013,1.47249,0.53189,1.49191,4.34375e-05,4.34375e-05,4.34375e-05
